"english","bengali","preposition","example"
"stymie","কোণঠাসা করা",,
"sub-par",,"Below average. Deriving from the term in golf ""par"" meaning average, and sub meaning below.","1. Bangladesh lost by two wickets to new zealand at the oval on wednesday after being all out for a sub-par 244. 2. According to stand-in captain mahmudullah riyad, bangladesh's sub-par performances in the last six months is not about technique or lack of execution in skill."
"sublime","মহিমান্বিত",,
"submerge","ডুবান",,
"submerged","নিমজ্জিত",,"New areas submerged in sherpur"
"subsequent","পরবর্তী",,
"subside","থিতান",,
"subsidy","ভর্তুকি",,
"substandard","নিম্ন মানের",,"The court ordered the authorities concerned to stop production, selling or marketing of these substandard products and to take appropriate legal action against the persons responsible for producing, selling, marketing and supplying the products."
"substantial","সারগর্ভ",,
"subversion","পরাভব",,
"subvert","পরাভূত করা",,
"successive","ধারাবাহিক",,
"suck","স্তন্যপান",,
"sue","আদালতে অভিযুক্ত করা",,
"suffocate","শ্বাসরোধ করা",,
"suffocating","শ্বাসরোধী",,"Please, you are suffocating me."
"sully","নোংরা করা",,
"summit","শিখর",,
"suo moto",,"Suo motu, meaning ""on its own motion,"" is a Latin legal term, approximately equivalent to the term sua sponte. For example, it is used where a government agency acts on its own cognizance, as in ""the Commission took suo motu control over the matter."" Example - ""there is no requirement that a court suo motu instruct a jury upon these defenses."" State v. Pierson.",
"superiority complex",,"An attitude of superiority which conceals actual feelings of inferiority and failure.",
"surge","ঢেউ",,
"surname","পদবি",,
"suspected","সন্দেহভাজন",,
"suspended","স্থগিত",,
"suspension","সাসপেনশন",,
"sustain","বজায় রাখা",,
"swallow","গেলা",,
"swear","শপথ",,
"sweep","কুড়ান",,
"sweetmeat","মোদক",,
"swell","চিতান",,
"swimmer","সাঁতারু",,
"symposium","সম্মেলন",,
"tactful","কৌশলী",,
"tailoring","দরজির কার্য",,
"taint","কলঙ্ক",,
"takeaway","ছাড়াইয়া লত্তয়া",,
"tangle","জট",,
"tariff","শুল্ক",,
"taunt","বিদ্রূপ",,
"taunting","বিদ্রূপাত্মক",,"1. The advertisement in a way is taunting the supporters. 2. New zealand cricket have admonished a stadium announcer for taunting pakistan fast bowler mohammad amir during the third t20 on friday."
"tear","বিছিন্ন করা",,
"tease","আঁচড়ান",,
"tedious","ক্লান্তিজনক",,
"tempo","লয়",,
"temptation","প্রলোভন",,
"tenure","ভোগদখল",,
"terrestrial","স্থলজ",,
"terrible","গুরুগম্ভীর",,
"theremin",,,
"thesaurus","জ্ঞানভাণ্ডার",,
"thoroughfare","রাস্তা; জনসাধারণের যাতায়াতের পথ",,"Buses clog up major thoroughfare in town"
"throat","গলা",,
"thug","খুনে",,
"thugs","সহযোগী গুণ্ডারা",,
"tiara","টায়রা",,
"tier","স্তর",,
"tilt","হেলানো",,
"timid","ভীতু",,
"tinkle","টুংটাং শব্দ করা",,
"tipsy","প্রমত্ত",,
"tire","পাগড়ি",,
"toddler","শক্তিশালী",,
"toll","উপশুল্ক",,
"tongue","জিহ্বা",,
"tough","শক্ত",,
"tout","টাউট",,
"tow","কাতা","towed away: দূরে টেনে ","1. The other ship which came under attack, the norwegian-operated front altair, was being towed away from iranian waters and would undergo a damage assessment later saturday, said a spokeswoman for its operator. 2. workers in paris and other cities swept up broken glass and towed away burnt-out cars while the government warned of slower economic growth and the judiciary said it would come down hard on looting and attacks on police."
"trace","চিহ্ন",,
"trafficker","কারবারী; পাচারকারী",,
"trafficking","পাচার",,
"tragic","মৃতু্যঘটিত",,
"trail","লেজ",,
"traitor","বিশ্বাসঘাতক",,
"trample","দৃঢ়ভাবে আচরণ করা",,
"trance","সমাধি",,
"transfusion","পরিব্যাপ্তি",,
"transvestite",,,
"trash talk",,"ফালতু কথা; in the course of a competitive situation putting down your opponent verbally or saying how good you think you are. 1) verbal abuse used during competition to upset the opposition.  2) to verbally abuse the opponent during competition. 3.  Disparaging, often insulting or vulgar speech about another person or group. – wikipedia.org",
"tremendous","অসাধারণ",,
"triumph","জয়জয়কার",,
"triumphant","জয়যুক্ত",,"Kenya's world 800m record holder david rudisha on friday made a triumphant return to his hometown of kilgoris in western kenya where he was crowned a masai warrior."
"troll","দানব",,
"trombone","পিতলের বড় বাঁশি",,
"tropical","গ্রীষ্মপ্রধান",,
"troubled","অস্থির",,"Troubled water: a difficult or confusing situation"
"truce","সাময়িক যুদ্ধবিরতি",,
"trunk","ট্রাঙ্ক",,
"turbulence","হাঙ্গামা",,
"turndown","প্রত্যাখ্যান করা",,"No reason to turn it down"
"ulterior","ভবিষ্য",,
"ulterior motive",,"অশুভ উদ্দেশ্য; when a person is trying has a hidden motive or hidden objective with another person secretely.",
"umbrage","অপমানবোধ",,
"unabated","অখণ্ড, অপ্রতিহত",,"Road collapse as illegal sand lifting goes unabated"
"unabridged","অসংক্ষেপিত",,
"undaunted","অকুতোভয়",,
"undeniably","অনস্বীকার্য",,
"undergo","মধ্য দিয়ে যাওয়া; সহ্য করা; বিশেষত চিকিৎসার মধ্যে দিয়ে যাওয়া",,"1. Quader to undergo surgery today 2. Pathao undergoing massive downsizing"
"underprivileged","দুঃস্থ",,
"unearth","মৃত্তিকা খুঁড়িয়া তোলা",,
"unfold","বিছান",,
"unify","ঐক্যসাধন করা",,
"unlawful","বেআইনী",,
"unlikely","অসম্ভাব্য; ঘটার সম্ভাবনা নেই এমন",,
"unraveling","ভেঙে",,
"unrest","অশান্তি",,
"unruly","অবশ",,
"unscrupulous","বিবেকবর্জিত",,
"untamed","অশান্ত",,
"untangle","জটিলতামুক্ত করা",,
"unveil","প্রকটিত করা",,
"uphill battle","চড়াই যুদ্ধ; a very difficult struggle",,"Egypt faces uphill battle against corruption"
"uphold","সমর্থন করা",,
"upscale",,,
"urge","চালনা করা",,
"urging","অনুরোধ",,
"ushering","উপস্থাপক",,
"usurp","অন্যায়রূপে অধিকার করা",,
"utters","উচ্চারণ",,
"uvula","আলজিভ",,
"vaguely","অস্পষ্টভাবে",,
"vain","নিরর্থক",,
"valiant","বীর",,
"vandalism","খেয়ালের বশে নির্বিচার ধ্বংসাত্মকতা; ধ্বংসোন্মাদনা",,
"vector","ভেক্টর",,
"veer","ঢিলা করা","veer off",
"veil","ঘোমটা",,
"verbal","মৌখিক",,
"verbally","শব্দগতভাবে",,
"verdict","রায়",,
"verge","কিনারা",,
"vermicelli","ভার্মিসিলি; সেমাইবিশেষ",,
"vessel","বদনা",,
"veteran","ঝানু",,
"vex","উত্ত্যক্ত করা",,
"vicious","দুশ্চরিত্র",,
"vile","নীচ",,
"vintage","মদ",,
"vivid","প্রাণবন্ত",,
"vow","ব্রত",,
"voyage","জলযাত্রা",,
"vulnerable","জেয়",,
"wading",,,
"wage","মজুরি","wages",
"waist","কোমর",,
"waive","পরিত্যাগ করা",,
"waiver","অধিকার পরিত্যাগের ঘোষণা",,
"wank","হস্তমৈথুন করা",,
"watchdog","রক্ষী কুকুর",,
"waterlogging","জলাবদ্ধতা",,
"weave","বুনা",,
"weavers","তাঁতি",,
"weepy","ক্রন্দনশীল",,
"weigh","ওজন",,"I would like to weigh in here"
"weird","অদ্ভুত",,
"well-being","মঙ্গল",,
"whilst","থাকাকালীন",,
"whimsically","খেয়ালখুশিমত",,
"whining","ঘেঙানি",,
"whip","চাবুক",,
"whisper","ফিস্ ফিস্ শব্দ",,
"whopping","খুব বড়",,
"whore","বেশ্যা",,
"wickedness","পাপা",,
"wig","পরচুলা",,
"wiggle","আন্দোলিত করা",,
"wildebeest","নু-হরিণ",,
"willful","স্বেচ্ছাচারী",,
"wind up",,"গুটান; 1. verb to tighten the spring inside an item or device, as by twisting a knob. A noun or pronoun can be used between ""wind"" and ""up."" 2. verb to twist or coil something onto a particular surface or thing. A noun or pronoun can be used between ""wind"" and ""up."" 3. verb to cause someone or something to become more animated. A noun or pronoun can be used between ""wind"" and ""up.""","1. Let me try winding up your watch—maybe that will get it going again. 2. The cat will keep playing with that yarn, unless you wind it up on the spool. 3. Please don't wind the kids up right before bedtime."
"wipe","মুছা","wipe out",
"wisdom","জ্ঞান",,
"woe","দুর্ভাগ্য",,
"woeful","শোচনীয়",,
"woo","পাণিপ্রার্থনা করা",,
"worrisome","ঝামেলাপূর্ণ",,
"worth","মূল্য",,
"worthless","অখাদ্য",,
"wound","ক্ষত",,
"wrath","ক্রোধ",,
"wreak","প্রতিহিংসা গ্রহণ করা",,"1. flood wreaks havoc on croplands. 2. wreck it ralph "
"wreckage","ধ্বংসাবশেষ",,
"writ","লেখন",,
"xenophobic",,,
"yam","রাঙা আলু",,
"yarn","সুতা",,
"yawn","হাই তোলা",,
"yell","চিৎকার",,"What to do when your boss is yelling at you
"
"yield","উৎপাদ",,"The growers successfully overcame the situation by taking additional measures as per instructions of the agro-officials and experts, resulting in good yield.       "
"yielding","প্রদায়ক",,"Seed bodies of india and bangladesh yesterday formalised a move to cooperate on expediting trade of high-yielding varieties (hyv) of rice seeds for the benefit of the farmers of the two countries, and help boost food security."
"yogurt","দই",,
